
 iter= 41 ;  day= 10 ;  method= PCA_perm 

 iter= 45 ;  day= 10 ;  method= PCA_perm 

 iter= 37 ;  day= 10 ;  method= PCA_perm 

 iter= 42 ;  day= 10 ;  method= PCA_perm 

 iter= 44 ;  day= 10 ;  method= PCA_perm 

 iter= 48 ;  day= 2 ;  method= PCA_perm 

 iter= 49 ;  day= 2 ;  method= PCA_perm 

 iter= 47 ;  day= 2 ;  method= PCA_perm 

 iter= 50 ;  day= 2 ;  method= PCA_perm 

 iter= 46 ;  day= 2 ;  method= PCA_perm 

 iter= 48 ;  day= 3 ;  method= PCA_perm 

 iter= 49 ;  day= 3 ;  method= PCA_perm 

 iter= 47 ;  day= 3 ;  method= PCA_perm 

 iter= 50 ;  day= 3 ;  method= PCA_perm 

 iter= 46 ;  day= 3 ;  method= PCA_perm 

 iter= 48 ;  day= 4 ;  method= PCA_perm 

 iter= 49 ;  day= 4 ;  method= PCA_perm 

 iter= 47 ;  day= 4 ;  method= PCA_perm 

 iter= 50 ;  day= 4 ;  method= PCA_perm 

 iter= 46 ;  day= 4 ;  method= PCA_perm 

 iter= 48 ;  day= 5 ;  method= PCA_perm 

 iter= 49 ;  day= 5 ;  method= PCA_perm 

 iter= 47 ;  day= 5 ;  method= PCA_perm 

 iter= 50 ;  day= 5 ;  method= PCA_perm 

 iter= 46 ;  day= 5 ;  method= PCA_perm 

 iter= 48 ;  day= 6 ;  method= PCA_perm 

 iter= 49 ;  day= 6 ;  method= PCA_perm 

 iter= 47 ;  day= 6 ;  method= PCA_perm 

 iter= 50 ;  day= 6 ;  method= PCA_perm 

 iter= 46 ;  day= 6 ;  method= PCA_perm 

 iter= 48 ;  day= 7 ;  method= PCA_perm 

 iter= 49 ;  day= 7 ;  method= PCA_perm 

 iter= 47 ;  day= 7 ;  method= PCA_perm 

 iter= 50 ;  day= 7 ;  method= PCA_perm 

 iter= 46 ;  day= 7 ;  method= PCA_perm 

 iter= 48 ;  day= 8 ;  method= PCA_perm 

 iter= 49 ;  day= 8 ;  method= PCA_perm 

 iter= 47 ;  day= 8 ;  method= PCA_perm 

 iter= 50 ;  day= 8 ;  method= PCA_perm 

 iter= 46 ;  day= 8 ;  method= PCA_perm 

 iter= 48 ;  day= 9 ;  method= PCA_perm 

 iter= 49 ;  day= 9 ;  method= PCA_perm 

 iter= 47 ;  day= 9 ;  method= PCA_perm 

 iter= 50 ;  day= 9 ;  method= PCA_perm 

 iter= 46 ;  day= 9 ;  method= PCA_perm 

 iter= 48 ;  day= 10 ;  method= PCA_perm 

