
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 13 ;  day= 3 ;  method= ICA 

 iter= 11 ;  day= 3 ;  method= ICA 

 iter= 17 ;  day= 3 ;  method= ICA 

 iter= 18 ;  day= 3 ;  method= ICA 

 iter= 12 ;  day= 3 ;  method= ICA 

 iter= 14 ;  day= 3 ;  method= ICA 

 iter= 10 ;  day= 3 ;  method= ICA 

 iter= 15 ;  day= 4 ;  method= PCA 

 iter= 16 ;  day= 4 ;  method= PCA 

 iter= 13 ;  day= 4 ;  method= PCA 

 iter= 17 ;  day= 4 ;  method= PCA 

 iter= 11 ;  day= 4 ;  method= PCA 

 iter= 18 ;  day= 4 ;  method= PCA 

 iter= 12 ;  day= 4 ;  method= PCA 

 iter= 14 ;  day= 4 ;  method= PCA 

 iter= 10 ;  day= 4 ;  method= PCA 

 iter= 15 ;  day= 4 ;  method= ICA 

 iter= 13 ;  day= 4 ;  method= ICA 

 iter= 16 ;  day= 4 ;  method= ICA 

 iter= 17 ;  day= 4 ;  method= ICA 

 iter= 18 ;  day= 4 ;  method= ICA 

 iter= 11 ;  day= 4 ;  method= ICA 

 iter= 12 ;  day= 4 ;  method= ICA 

 iter= 14 ;  day= 4 ;  method= ICA 

 iter= 10 ;  day= 4 ;  method= ICA 

 iter= 15 ;  day= 5 ;  method= PCA 

 iter= 13 ;  day= 5 ;  method= PCA 

 iter= 16 ;  day= 5 ;  method= PCA 

 iter= 17 ;  day= 5 ;  method= PCA 

 iter= 11 ;  day= 5 ;  method= PCA 

 iter= 18 ;  day= 5 ;  method= PCA 

 iter= 12 ;  day= 5 ;  method= PCA 

 iter= 14 ;  day= 5 ;  method= PCA 

 iter= 10 ;  day= 5 ;  method= PCA 

 iter= 15 ;  day= 5 ;  method= ICA 

 iter= 13 ;  day= 5 ;  method= ICA 

 iter= 16 ;  day= 5 ;  method= ICA 

 iter= 17 ;  day= 5 ;  method= ICA 

 iter= 18 ;  day= 5 ;  method= ICA 

 iter= 11 ;  day= 5 ;  method= ICA 

 iter= 14 ;  day= 5 ;  method= ICA 

 iter= 12 ;  day= 5 ;  method= ICA 

 iter= 10 ;  day= 5 ;  method= ICA 

 iter= 15 ;  day= 6 ;  method= PCA 

 iter= 13 ;  day= 6 ;  method= PCA 

 iter= 16 ;  day= 6 ;  method= PCA 

 iter= 17 ;  day= 6 ;  method= PCA 

 iter= 18 ;  day= 6 ;  method= PCA 

 iter= 11 ;  day= 6 ;  method= PCA 

 iter= 14 ;  day= 6 ;  method= PCA 

 iter= 12 ;  day= 6 ;  method= PCA 

 iter= 10 ;  day= 6 ;  method= PCA 

 iter= 15 ;  day= 6 ;  method= ICA 

 iter= 13 ;  day= 6 ;  method= ICA 

 iter= 16 ;  day= 6 ;  method= ICA 

 iter= 17 ;  day= 6 ;  method= ICA 

 iter= 18 ;  day= 6 ;  method= ICA 

 iter= 11 ;  day= 6 ;  method= ICA 

 iter= 14 ;  day= 6 ;  method= ICA 

 iter= 12 ;  day= 6 ;  method= ICA 

 iter= 10 ;  day= 6 ;  method= ICA 

 iter= 15 ;  day= 7 ;  method= PCA 

 iter= 13 ;  day= 7 ;  method= PCA 

 iter= 16 ;  day= 7 ;  method= PCA 

 iter= 17 ;  day= 7 ;  method= PCA 

 iter= 18 ;  day= 7 ;  method= PCA 

 iter= 11 ;  day= 7 ;  method= PCA 

 iter= 14 ;  day= 7 ;  method= PCA 

 iter= 12 ;  day= 7 ;  method= PCA 

 iter= 10 ;  day= 7 ;  method= PCA 

 iter= 15 ;  day= 7 ;  method= ICA 

 iter= 13 ;  day= 7 ;  method= ICA 

 iter= 16 ;  day= 7 ;  method= ICA 

 iter= 17 ;  day= 7 ;  method= ICA 

 iter= 18 ;  day= 7 ;  method= ICA 

 iter= 11 ;  day= 7 ;  method= ICA 

 iter= 14 ;  day= 7 ;  method= ICA 

 iter= 12 ;  day= 7 ;  method= ICA 

 iter= 15 ;  day= 8 ;  method= PCA 

 iter= 10 ;  day= 7 ;  method= ICA 

 iter= 13 ;  day= 8 ;  method= PCA 

 iter= 16 ;  day= 8 ;  method= PCA 

 iter= 17 ;  day= 8 ;  method= PCA 

 iter= 18 ;  day= 8 ;  method= PCA 

 iter= 11 ;  day= 8 ;  method= PCA 

 iter= 14 ;  day= 8 ;  method= PCA 

 iter= 12 ;  day= 8 ;  method= PCA 

 iter= 10 ;  day= 8 ;  method= PCA 

 iter= 15 ;  day= 8 ;  method= ICA 

 iter= 13 ;  day= 8 ;  method= ICA 

 iter= 16 ;  day= 8 ;  method= ICA 

 iter= 17 ;  day= 8 ;  method= ICA 

 iter= 18 ;  day= 8 ;  method= ICA 

 iter= 11 ;  day= 8 ;  method= ICA 

 iter= 14 ;  day= 8 ;  method= ICA 

 iter= 12 ;  day= 8 ;  method= ICA 

 iter= 15 ;  day= 9 ;  method= PCA 

 iter= 10 ;  day= 8 ;  method= ICA 

 iter= 13 ;  day= 9 ;  method= PCA 

 iter= 16 ;  day= 9 ;  method= PCA 

 iter= 17 ;  day= 9 ;  method= PCA 

 iter= 18 ;  day= 9 ;  method= PCA 

 iter= 11 ;  day= 9 ;  method= PCA 

 iter= 14 ;  day= 9 ;  method= PCA 

 iter= 12 ;  day= 9 ;  method= PCA 

 iter= 10 ;  day= 9 ;  method= PCA 

 iter= 15 ;  day= 9 ;  method= ICA 

 iter= 13 ;  day= 9 ;  method= ICA 

 iter= 16 ;  day= 9 ;  method= ICA 

 iter= 17 ;  day= 9 ;  method= ICA 

 iter= 18 ;  day= 9 ;  method= ICA 

 iter= 11 ;  day= 9 ;  method= ICA 

 iter= 14 ;  day= 9 ;  method= ICA 

 iter= 12 ;  day= 9 ;  method= ICA 

 iter= 10 ;  day= 9 ;  method= ICA 

 iter= 17 ;  day= 10 ;  method= PCA 

 iter= 16 ;  day= 10 ;  method= PCA 

 iter= 18 ;  day= 10 ;  method= PCA 

 iter= 11 ;  day= 10 ;  method= PCA 

 iter= 15 ;  day= 10 ;  method= PCA 

 iter= 13 ;  day= 10 ;  method= PCA 

 iter= 14 ;  day= 10 ;  method= PCA 

 iter= 12 ;  day= 10 ;  method= PCA 

 iter= 10 ;  day= 10 ;  method= PCA 

 iter= 18 ;  day= 10 ;  method= ICA 

 iter= 17 ;  day= 10 ;  method= ICA 

 iter= 11 ;  day= 10 ;  method= ICA 

 iter= 16 ;  day= 10 ;  method= ICA 

 iter= 15 ;  day= 10 ;  method= ICA 

 iter= 13 ;  day= 10 ;  method= ICA 

 iter= 14 ;  day= 10 ;  method= ICA 

 iter= 12 ;  day= 10 ;  method= ICA 

 iter= 10 ;  day= 10 ;  method= ICA 

 iter= 26 ;  day= 2 ;  method= PCA 

 iter= 25 ;  day= 2 ;  method= PCA 

 iter= 27 ;  day= 2 ;  method= PCA 

 iter= 24 ;  day= 2 ;  method= PCA 

 iter= 23 ;  day= 2 ;  method= PCA 

 iter= 22 ;  day= 2 ;  method= PCA 

